Date Submitted,Workout Date,Activity Type,Calories Burned (kCal),Distance (mi),Workout Time (seconds),Avg Pace (min/mi),Max Pace,Avg Speed (mi/h),Max Speed,Avg Heart Rate,Steps,Notes,Source,Link
x,16-Sep-17,x,x,3.1,19.55,6.3,x,x,x,,x,,,http://www.mapmyrun.com/workout/2467538360
x,6-Oct-17,x,x,3.11,1198,6.416666667,x,x,x,,x,,,http://www.mapmyrun.com/workout/2508593210
x,14-Oct-17,x,x,3.09,1197,6.466666667,x,x,x,,x,,,http://www.mapmyrun.com/workout/2522643863
26-Jun-16,26-Jun-16,Run,1149,10.5475,5285,8.35589,0,7.18057,0,,15374,,,http://www.mapmyrun.com/workout/1566218462
26-Jun-16,21-Jun-16,Run,718,6.60611,3392,8.56946,0,7.00161,0,,9939,,,http://www.mapmyrun.com/workout/1566218273
26-Jun-16,19-Jun-16,Run,1736,15.6829,9665,10.2768,0,5.8384,0,,25378,,,http://www.mapmyrun.com/workout/1566219134
17-Jun-16,17-Jun-16,Run,448,4.04905,2294,9.44451,0,6.3529,0,,6638,,,http://www.mapmyrun.com/workout/1546174907
17-Jun-16,14-Jun-16,Run,648,5.92487,3236,9.09234,0,6.59896,0,,9164,,,http://www.mapmyrun.com/workout/1546175096
11-Jun-16,11-Jun-16,Run,1328,13.16,5761,7.29042,0,8.22998,0,0,17447,,,http://www.mapmyrun.com/workout/1531633214
9-Jun-16,7-Jun-16,Run,676,6.09562,3403,9.31333,0,6.44238,0,,9794,,,http://www.mapmyrun.com/workout/1526435639
9-Jun-16,6-Jun-16,Run,492,4.44016,2552,9.57943,0,6.26342,0,,7376,,,http://www.mapmyrun.com/workout/1526435120
9-Jun-16,5-Jun-16,Run,1112,9.99811,6241,10.3963,0,5.7713,0,,16216,,,http://www.mapmyrun.com/workout/1526437265
5-Jun-16,4-Jun-16,Run,434,4.06715,2217,9.09234,0,6.59896,0,,6347,,,http://www.mapmyrun.com/workout/1516724696
5-Jun-16,3-Jun-16,Run,825,7.60333,4270,9.34578,0,6.42001,0,,11956,,,http://www.mapmyrun.com/workout/1516725419
5-Jun-16,1-Jun-16,Run,474,4.27108,2278,8.88159,0,6.75555,0,,6875,,,http://www.mapmyrun.com/workout/1516725146
30-May-16,30-May-16,Run,620,5.67767,3093,9.09234,0,6.59896,0,,9171,,,http://www.mapmyrun.com/workout/1502981132
30-May-16,29-May-16,Run,878,7.85946,4734,10.0458,0,5.97262,0,,13200,,,http://www.mapmyrun.com/workout/1502981678
22-May-16,21-May-16,Run,1188,10.9698,6349,9.64834,0,6.21868,0,,17685,,,http://www.mapmyrun.com/workout/1486302705
22-May-16,19-May-16,Run,469,4.33412,2168,8.32994,0,7.20293,0,,6354,,,http://www.mapmyrun.com/workout/1486301827
22-May-16,18-May-16,Run,438,4.01624,2120,8.79423,0,6.82266,0,,6125,,,http://www.mapmyrun.com/workout/1486301531
22-May-16,17-May-16,Run,585,5.31124,2765,8.68039,0,6.91213,0,,7966,,,http://www.mapmyrun.com/workout/1486301953
22-May-16,15-May-16,Run,1305,11.7777,7204,10.1986,0,5.88314,0,,18901,,,http://www.mapmyrun.com/workout/1486303415
10-May-16,10-May-16,Run,97,0.980039,364,6.19455,0,9.68593,0,,1171,,,http://www.mapmyrun.com/workout/1468061425
10-May-16,10-May-16,Run,230,2.12131,1204,9.44451,0,6.3529,0,,2994,,,http://www.mapmyrun.com/workout/1468061409
10-May-16,10-May-16,Run,102,0.992572,400,6.72241,0,8.92538,0,,1272,,,http://www.mapmyrun.com/workout/1468061299
10-May-16,10-May-16,Run,101,1.00532,356,5.90802,0,10.1557,0,,1152,,,http://www.mapmyrun.com/workout/1468061285
7-May-16,7-May-16,Run,1352,13.1765,5707,7.21032,0,8.3214,0,,17288,,,http://www.mapmyrun.com/workout/1462996013
7-May-16,3-May-16,Run,418,4.12604,1746,7.05853,0,8.50036,0,,5230,,,http://www.mapmyrun.com/workout/1462995615
2-May-16,1-May-16,Run,1273,11.7628,5975,8.46132,0,7.09109,0,,17129,,,http://www.mapmyrun.com/workout/1455610311
28-Apr-16,28-Apr-16,Run,589,5.58752,2678,7.98286,0,7.51611,0,,7987,,,http://www.mapmyrun.com/workout/1450187303
28-Apr-16,28-Apr-16,Run,113,1.03154,651,10.5186,0,5.70419,0,,1593,,,http://www.mapmyrun.com/workout/1450187035
28-Apr-16,25-Apr-16,Run,476,4.42542,2279,8.56946,0,7.00161,0,,6693,,,http://www.mapmyrun.com/workout/1450187077
28-Apr-16,23-Apr-16,Run,1328,11.9509,7345,10.2376,0,5.86077,0,,19520,,,http://www.mapmyrun.com/workout/1450187635
28-Apr-16,21-Apr-16,Run,584,5.52351,3124,9.41137,0,6.37527,0,,8118,,,http://www.mapmyrun.com/workout/1450187427
20-Apr-16,19-Apr-16,Run,417,4.06197,2574,10.56,0,5.68182,0,,5853,,,http://www.mapmyrun.com/workout/1437877515
20-Apr-16,19-Apr-16,Run,227,2.16254,1214,9.34578,0,6.42001,0,,3158,,,http://www.mapmyrun.com/workout/1437877255
17-Apr-16,17-Apr-16,Run,1352,12.1568,7319,10.0458,0,5.97262,0,,20297,,,http://www.mapmyrun.com/workout/1432666689
17-Apr-16,14-Apr-16,Run,441,4.00454,2148,8.9408,0,6.71081,0,,6276,,,http://www.mapmyrun.com/workout/1432666477
17-Apr-16,12-Apr-16,Run,510,5.05748,3155,10.3963,0,5.7713,0,,7065,,,http://www.mapmyrun.com/workout/1432666557
17-Apr-16,12-Apr-16,Run,114,1.09208,600,9.1544,0,6.55422,0,,1714,,,http://www.mapmyrun.com/workout/1432666435
10-Apr-16,10-Apr-16,Run,1607,13.1,5821,7.472,0,8.02998,0,0,17750,,,http://www.mapmyrun.com/workout/1422119451
10-Apr-16,6-Apr-16,Run,431,3.98677,2246,9.37846,0,6.39764,0,,6454,,,http://www.mapmyrun.com/workout/1422118385
10-Apr-16,5-Apr-16,Run,594,5.81064,3666,10.5186,0,5.70419,0,,8517,,,http://www.mapmyrun.com/workout/1422118919
10-Apr-16,3-Apr-16,Run,1340,12.1062,6980,9.61376,0,6.24105,0,,19907,,,http://www.mapmyrun.com/workout/1422120117
10-Apr-16,29-Mar-16,Run,634,6.00929,3506,9.71826,0,6.17394,0,,8249,,,http://www.mapmyrun.com/workout/1422118747
10-Apr-16,27-Mar-16,Run,1328,11.8965,7601,10.6438,0,5.63708,0,,20268,,,http://www.mapmyrun.com/workout/1422120887
10-Apr-16,26-Mar-16,Run,450,4.11692,2239,9.06162,0,6.62133,0,,6482,,,http://www.mapmyrun.com/workout/1422118291
10-Apr-16,23-Mar-16,Run,553,5.38161,2449,7.57695,0,7.91875,0,,7329,,,http://www.mapmyrun.com/workout/1422118495
10-Apr-16,20-Mar-16,Run,1291,11.7636,6332,8.9707,0,6.68844,0,,18323,,,http://www.mapmyrun.com/workout/1422119645
10-Apr-16,13-Mar-16,Run,1337,12.022,7487,10.3963,0,5.7713,0,,19945,,,http://www.mapmyrun.com/workout/1422120433
10-Apr-16,11-Mar-16,Run,435,4.10971,1956,7.93562,0,7.56084,0,,6047,,,http://www.mapmyrun.com/workout/1422117977
10-Apr-16,9-Mar-16,Run,458,4.40568,2083,7.88894,0,7.60558,0,,6169,,,http://www.mapmyrun.com/workout/1422118195
10-Apr-16,8-Mar-16,Run,646,6.22464,4257,11.4138,0,5.2568,0,,9035,,,http://www.mapmyrun.com/workout/1422119095
5-Mar-16,5-Mar-16,Run,1588,13.08,5695,7.24639,0,8.27998,0,0,17377,,,http://www.mapmyrun.com/workout/1371548157
